class_id,class_label,base_species_or_group,label_type,coverage_status,recommended_name,recommended_url,notes,expert_description_status,expert_visual_description,expert_description_source,source_page_verified_in_this_pass,expert_description_sections,description_notes,safe_use_note
0,Birds,Birds,group_or_family_label,not_one_to_one_species_description,,https://www.allaboutbirds.org/guide/browse/taxonomy,"Higher-level taxonomy/class node, not a species class. Use only for hierarchy context, not class-level expert description.",not_applicable_group_or_family_label,,https://www.allaboutbirds.org/guide/browse/taxonomy,no,,Higher-level taxonomy label; do not use as class-level species description.,Store compact normalized visual traits + URL; avoid redistributing long raw webpage text.
1,"Ducks, Geese, and Swans","Ducks, Geese, and Swans",group_or_family_label,not_one_to_one_species_description,,https://www.allaboutbirds.org/guide/browse/taxonomy,"Higher-level taxonomy/class node, not a species class. Use only for hierarchy context, not class-level expert description.",not_applicable_group_or_family_label,,https://www.allaboutbirds.org/guide/browse/taxonomy,no,,Higher-level taxonomy label; do not use as class-level species description.,Store compact normalized visual traits + URL; avoid redistributing long raw webpage text.
2,"Grouse, Quail, and Allies","Grouse, Quail, and Allies",group_or_family_label,not_one_to_one_species_description,,https://www.allaboutbirds.org/guide/browse/taxonomy,"Higher-level taxonomy/class node, not a species class. Use only for hierarchy context, not class-level expert description.",not_applicable_group_or_family_label,,https://www.allaboutbirds.org/guide/browse/taxonomy,no,,Higher-level taxonomy label; do not use as class-level species description.,Store compact normalized visual traits + URL; avoid redistributing long raw webpage text.
3,Loons,Loons,group_or_family_label,not_one_to_one_species_description,,https://www.allaboutbirds.org/guide/browse/taxonomy,"Higher-level taxonomy/class node, not a species class. Use only for hierarchy context, not class-level expert description.",not_applicable_group_or_family_label,,https://www.allaboutbirds.org/guide/browse/taxonomy,no,,Higher-level taxonomy label; do not use as class-level species description.,Store compact normalized visual traits + URL; avoid redistributing long raw webpage text.
4,Grebes,Grebes,group_or_family_label,not_one_to_one_species_description,,https://www.allaboutbirds.org/guide/browse/taxonomy,"Higher-level taxonomy/class node, not a species class. Use only for hierarchy context, not class-level expert description.",not_applicable_group_or_family_label,,https://www.allaboutbirds.org/guide/browse/taxonomy,no,,Higher-level taxonomy label; do not use as class-level species description.,Store compact normalized visual traits + URL; avoid redistributing long raw webpage text.
5,Storks,Storks,group_or_family_label,not_one_to_one_species_description,,https://www.allaboutbirds.org/guide/browse/taxonomy,"Higher-level taxonomy/class node, not a species class. Use only for hierarchy context, not class-level expert description.",not_applicable_group_or_family_label,,https://www.allaboutbirds.org/guide/browse/taxonomy,no,,Higher-level taxonomy label; do not use as class-level species description.,Store compact normalized visual traits + URL; avoid redistributing long raw webpage text.
6,"Frigatebirds, Boobies, Cormorants, Darters, and Allies","Frigatebirds, Boobies, Cormorants, Darters, and Allies",group_or_family_label,not_one_to_one_species_description,,https://www.allaboutbirds.org/guide/browse/taxonomy,"Higher-level taxonomy/class node, not a species class. Use only for hierarchy context, not class-level expert description.",not_applicable_group_or_family_label,,https://www.allaboutbirds.org/guide/browse/taxonomy,no,,Higher-level taxonomy label; do not use as class-level species description.,Store compact normalized visual traits + URL; avoid redistributing long raw webpage text.
7,"Pelicans, Herons, Ibises, and Allies","Pelicans, Herons, Ibises, and Allies",group_or_family_label,not_one_to_one_species_description,,https://www.allaboutbirds.org/guide/browse/taxonomy,"Higher-level taxonomy/class node, not a species class. Use only for hierarchy context, not class-level expert description.",not_applicable_group_or_family_label,,https://www.allaboutbirds.org/guide/browse/taxonomy,no,,Higher-level taxonomy label; do not use as class-level species description.,Store compact normalized visual traits + URL; avoid redistributing long raw webpage text.
8,"Hawks, Kites, Eagles, and Allies","Hawks, Kites, Eagles, and Allies",group_or_family_label,not_one_to_one_species_description,,https://www.allaboutbirds.org/guide/browse/taxonomy,"Higher-level taxonomy/class node, not a species class. Use only for hierarchy context, not class-level expert description.",not_applicable_group_or_family_label,,https://www.allaboutbirds.org/guide/browse/taxonomy,no,,Higher-level taxonomy label; do not use as class-level species description.,Store compact normalized visual traits + URL; avoid redistributing long raw webpage text.
9,Caracaras and Falcons,Caracaras and Falcons,group_or_family_label,not_one_to_one_species_description,,https://www.allaboutbirds.org/guide/browse/taxonomy,"Higher-level taxonomy/class node, not a species class. Use only for hierarchy context, not class-level expert description.",not_applicable_group_or_family_label,,https://www.allaboutbirds.org/guide/browse/taxonomy,no,,Higher-level taxonomy label; do not use as class-level species description.,Store compact normalized visual traits + URL; avoid redistributing long raw webpage text.
10,Cranes and Rails,Cranes and Rails,group_or_family_label,not_one_to_one_species_description,,https://www.allaboutbirds.org/guide/browse/taxonomy,"Higher-level taxonomy/class node, not a species class. Use only for hierarchy context, not class-level expert description.",not_applicable_group_or_family_label,,https://www.allaboutbirds.org/guide/browse/taxonomy,no,,Higher-level taxonomy label; do not use as class-level species description.,Store compact normalized visual traits + URL; avoid redistributing long raw webpage text.
11,"Plovers, Sandpipers, and Allies","Plovers, Sandpipers, and Allies",group_or_family_label,not_one_to_one_species_description,,https://www.allaboutbirds.org/guide/browse/taxonomy,"Higher-level taxonomy/class node, not a species class. Use only for hierarchy context, not class-level expert description.",not_applicable_group_or_family_label,,https://www.allaboutbirds.org/guide/browse/taxonomy,no,,Higher-level taxonomy label; do not use as class-level species description.,Store compact normalized visual traits + URL; avoid redistributing long raw webpage text.
12,Skuas and Alcids,Skuas and Alcids,group_or_family_label,not_one_to_one_species_description,,https://www.allaboutbirds.org/guide/browse/taxonomy,"Higher-level taxonomy/class node, not a species class. Use only for hierarchy context, not class-level expert description.",not_applicable_group_or_family_label,,https://www.allaboutbirds.org/guide/browse/taxonomy,no,,Higher-level taxonomy label; do not use as class-level species description.,Store compact normalized visual traits + URL; avoid redistributing long raw webpage text.
13,"Gulls, Terns, and Allies","Gulls, Terns, and Allies",group_or_family_label,not_one_to_one_species_description,,https://www.allaboutbirds.org/guide/browse/taxonomy,"Higher-level taxonomy/class node, not a species class. Use only for hierarchy context, not class-level expert description.",not_applicable_group_or_family_label,,https://www.allaboutbirds.org/guide/browse/taxonomy,no,,Higher-level taxonomy label; do not use as class-level species description.,Store compact normalized visual traits + URL; avoid redistributing long raw webpage text.
14,Pigeons and Doves,Pigeons and Doves,group_or_family_label,not_one_to_one_species_description,,https://www.allaboutbirds.org/guide/browse/taxonomy,"Higher-level taxonomy/class node, not a species class. Use only for hierarchy context, not class-level expert description.",not_applicable_group_or_family_label,,https://www.allaboutbirds.org/guide/browse/taxonomy,no,,Higher-level taxonomy label; do not use as class-level species description.,Store compact normalized visual traits + URL; avoid redistributing long raw webpage text.
15,Parrots,Parrots,group_or_family_label,not_one_to_one_species_description,,https://www.allaboutbirds.org/guide/browse/taxonomy,"Higher-level taxonomy/class node, not a species class. Use only for hierarchy context, not class-level expert description.",not_applicable_group_or_family_label,,https://www.allaboutbirds.org/guide/browse/taxonomy,no,,Higher-level taxonomy label; do not use as class-level species description.,Store compact normalized visual traits + URL; avoid redistributing long raw webpage text.
16,Cuckoos,Cuckoos,group_or_family_label,not_one_to_one_species_description,,https://www.allaboutbirds.org/guide/browse/taxonomy,"Higher-level taxonomy/class node, not a species class. Use only for hierarchy context, not class-level expert description.",not_applicable_group_or_family_label,,https://www.allaboutbirds.org/guide/browse/taxonomy,no,,Higher-level taxonomy label; do not use as class-level species description.,Store compact normalized visual traits + URL; avoid redistributing long raw webpage text.
