class_id,class_label,recommended_name,expert_visual_description,expert_visual_description_text
0,Birds,,[],
1,"Ducks, Geese, and Swans",,[],
2,"Grouse, Quail, and Allies",,[],
3,Loons,,[],
4,Grebes,,[],
5,Storks,,[],
6,"Frigatebirds, Boobies, Cormorants, Darters, and Allies",,[],
7,"Pelicans, Herons, Ibises, and Allies",,[],
8,"Hawks, Kites, Eagles, and Allies",,[],
9,Caracaras and Falcons,,[],
10,Cranes and Rails,,[],
11,"Plovers, Sandpipers, and Allies",,[],
12,Skuas and Alcids,,[],
13,"Gulls, Terns, and Allies",,[],
14,Pigeons and Doves,,[],
15,Parrots,,[],
16,Cuckoos,,[],
17,Owls,,[],
18,Nightjars,,[],
19,Swifts and Hummingbirds,,[],
20,Kingfishers and Allies,,[],
21,Woodpeckers,,[],
22,Perching Birds,,[],
23,Black-bellied Plover,Black-bellied Plover,"[""chunky body"", ""large head"", ""short thick dark bill"", ""long pointed wings"", ""moderately long dark legs"", ""black-and-white checkered upperwings"", ""black face"", ""black belly"", ""white crown"", ""white nape"", ""white undertail"", ""pale gray upperparts"", ""grayish whitish underparts"", ""scaly-looking back"", ""black armpits""]","A bird with chunky body, large head, short thick dark bill, long pointed wings, moderately long dark legs, black-and-white checkered upperwings, black face, black belly, white crown, white nape, white undertail, pale gray upperparts, grayish whitish underparts, scaly-looking back, and black armpits."
24,Black-bellied Whistling-Duck,Black-bellied Whistling-Duck,"[""large goose-body"", ""long neck"", ""long chestnut legs"", ""short tail"", ""dark plumage"", ""chestnut breast"", ""black belly"", ""bright-pink bill"", ""grayish face"", ""broad white wings"", ""grayish stripes""]","A bird with large goose-body, long neck, long chestnut legs, short tail, dark plumage, chestnut breast, black belly, bright-pink bill, grayish face, broad white wings, and grayish stripes."
25,Tyrant Flycatchers,,[],
26,Semipalmated Plover,Semipalmated Plover,"[""small compact body"", ""round head"", ""large black eye"", ""short neck"", ""medium-length legs"", ""brown black upperparts"", ""white underparts"", ""one black white bands"", ""white brown breast"", ""black short orange bill"", ""black collar"", ""black face""]","A bird with small compact body, round head, large black eye, short neck, medium-length legs, brown black upperparts, white underparts, one black white bands, white brown breast, black short orange bill, black collar, and black face."
27,Greater White-fronted Goose,Greater White-fronted Goose,"[""medium-sized heavy body"", ""small pinkish-orange bill"", ""thick orangish legs"", ""short neck"", ""brown plumage"", ""thin white line""]","A bird with medium-sized heavy body, small pinkish-orange bill, thick orangish legs, short neck, brown plumage, and thin white line."
28,Black Vulture,Black Vulture,"[""large raptors"", ""rounded body"", ""narrow strongly hooked bill"", ""white patches""]","A bird with large raptors, rounded body, narrow strongly hooked bill, and white patches."
29,American White Pelican,American White Pelican,"[""huge waterbird"", ""broad wings"", ""long neck"", ""long bill"", ""thick body"", ""short legs"", ""short square tail"", ""snowy white plumage"", ""black flight feathers"", ""small patches""]","A bird with huge waterbird, broad wings, long neck, long bill, thick body, short legs, short square tail, snowy white plumage, black flight feathers, and small patches."
30,Killdeer,Killdeer,"[""large round head"", ""large eye"", ""short bill"", ""slender lanky body"", ""long pointed tail"", ""long wings"", ""brownish-tan upperparts"", ""white underparts"", ""white chest"", ""two black bands"", ""brown face"", ""black-and-white patches"", ""bright orange-buff rump""]","A bird with large round head, large eye, short bill, slender lanky body, long pointed tail, long wings, brownish-tan upperparts, white underparts, white chest, two black bands, brown face, black-and-white patches, and bright orange-buff rump."
31,Red-headed Woodpecker,Red-headed Woodpecker,"[""medium-sized large body"", ""rounded bright-red gray-brown head"", ""rounded tail"", ""spike-like bill"", ""white underparts"", ""black back"", ""large white gray-brown patches"", ""black white wings"", ""black spots""]","A bird with medium-sized large body, rounded bright-red gray-brown head, rounded tail, spike-like bill, white underparts, black back, large white gray-brown patches, black white wings, and black spots."
32,Shrikes,,[],
33,Snow Goose,Snow Goose,"[""medium-sized white dark brown body"", ""hefty pink bill"", ""long thick neck"", ""black wingtips"", ""dark line"", ""dark patches"", ""blue white face"", ""white undertail""]","A bird with medium-sized white dark brown body, hefty pink bill, long thick neck, black wingtips, dark line, dark patches, blue white face, and white undertail."
34,Chimney Swift,Chimney Swift,"[""small slender body"", ""long narrow curved wings"", ""round head"", ""short neck"", ""short tapered tail"", ""wide bill"", ""dark gray-brown plumage""]","A bird with small slender body, long narrow curved wings, round head, short neck, short tapered tail, wide bill, and dark gray-brown plumage."
35,American Oystercatcher,American Oystercatcher,"[""large thickset body"", ""large black head"", ""large neck"", ""long thick legs"", ""black plumage"", ""bright orange-red bill"", ""black breast"", ""white underparts"", ""yellow eye"", ""red eyering""]","A bird with large thickset body, large black head, large neck, long thick legs, black plumage, bright orange-red bill, black breast, white underparts, yellow eye, and red eyering."
36,Ross's Goose,Ross's Goose,"[""small stocky dark body"", ""short neck"", ""short gray dark bill"", ""white black wingtips"", ""dark wings"", ""white face"", ""white tinged plumage""]","A bird with small stocky dark body, short neck, short gray dark bill, white black wingtips, dark wings, white face, and white tinged plumage."
37,Barn Owl,Barn Owl,"[""medium-sized white body"", ""rounded wings"", ""short tail"", ""pale plumage"", ""dark eye"", ""buff gray head"", ""buff gray back"", ""buff-gray upperwing feathers"", ""white face"", ""white underwings""]","A bird with medium-sized white body, rounded wings, short tail, pale plumage, dark eye, buff gray head, buff gray back, buff-gray upperwing feathers, white face, and white underwings."
38,Vireos,,[],
39,Black Oystercatcher,Black Oystercatcher,"[""large heavyset thick body"", ""long thick straight orange-red bill"", ""yellow eye"", ""red brownish plumage""]","A bird with large heavyset thick body, long thick straight orange-red bill, yellow eye, and red brownish plumage."
